event_label,Alarm_bell_ringing,Blender,Cat,Dishes,Dog,Electric_shaver_toothbrush,Frying,Running_water,Speech,Vacuum_cleaner
Alarm_bell_ringing,1.0,0.02447089947089947,0.030289823490956637,0.06196347744654284,0.06780660377358491,0.029046563192904655,0.032879377431906616,0.03367524675827366,0.19850295091406361,0.02161547212741752
Blender,0.02447089947089947,1.0,0.022376776534623527,0.06811509101585438,0.02175543885971493,0.019183168316831683,0.025097024579560156,0.024365221851756862,0.10978174171561163,0.016823034616628922
Cat,0.030289823490956637,0.022376776534623527,1.0,0.03514018691588785,0.052538519828239455,0.023968446601941747,0.023544303797468354,0.025673294739491568,0.10754391016412324,0.017034700315457414
Dishes,0.06196347744654284,0.06811509101585438,0.03514018691588785,1.0,0.05777702473737716,0.03238636363636364,0.3719730941704036,0.07817703768624014,0.25707292491541284,0.024154589371980676
Dog,0.06780660377358491,0.02175543885971493,0.052538519828239455,0.05777702473737716,1.0,0.02693178957966272,0.032398347466840616,0.045494313210848646,0.15745935836570277,0.022112382934443287
Electric_shaver_toothbrush,0.029046563192904655,0.019183168316831683,0.023968446601941747,0.03238636363636364,0.02693178957966272,1.0,0.023279875840662184,0.03049095607235142,0.11435647170223615,0.014881915237787124
Frying,0.032879377431906616,0.025097024579560156,0.023544303797468354,0.3719730941704036,0.032398347466840616,0.023279875840662184,1.0,0.03008849557522124,0.15694514890225347,0.01846895074946467
Running_water,0.03367524675827366,0.024365221851756862,0.025673294739491568,0.07817703768624014,0.045494313210848646,0.03049095607235142,0.03008849557522124,1.0,0.15150424643731106,0.019936204146730464
Speech,0.19850295091406361,0.10978174171561163,0.10754391016412324,0.25707292491541284,0.15745935836570277,0.11435647170223615,0.15694514890225347,0.15150424643731106,1.0,0.0951417004048583
Vacuum_cleaner,0.02161547212741752,0.016823034616628922,0.017034700315457414,0.024154589371980676,0.022112382934443287,0.014881915237787124,0.01846895074946467,0.019936204146730464,0.0951417004048583,1.0
